id,gene,gene_id,description
gene418,dxs,gene:BAE76200,1-deoxyxylulose-5-phosphate synthase%2C thiamine-requiring%2C FAD-requiring
gene419,ispA,gene:BAE76201,geranyltranstransferase
gene420,xseB,gene:BAE76202,exonuclease VII small subunit
gene421,thiI,gene:BAE76203,sulfurtransferase required for thiamine and 4-thiouridine biosynthesis
gene422,yajL,gene:BAE76204,conserved hypothetical protein
gene423,panE,gene:BAE76205,2-dehydropantoate reductase%2C NADPH-specific
gene424,yajQ,gene:BAE76206,predicted nucleotide binding protein
gene425,yajR,gene:BAE76207,predicted transporter
gene426,cyoE,gene:BAE76208,protoheme IX farnesyltransferase
gene427,cyoD,gene:BAE76209,cytochrome o ubiquinol oxidase subunit IV
gene428,cyoC,gene:BAE76210,cytochrome o ubiquinol oxidase subunit III
gene429,cyoB,gene:BAE76211,cytochrome o ubiquinol oxidase subunit I
gene430,cyoA,gene:BAE76212,cytochrome o ubiquinol oxidase subunit II
gene431,ampG,gene:BAE76213,muropeptide transporter
gene432,yajG,gene:BAE76214,predicted lipoprotein
gene433,bolA,gene:BAE76215,regulator of penicillin binding proteins and beta lactamase transcription (morphogene)
gene434,tig,gene:BAE76216,peptidyl-prolyl cis/trans isomerase
gene435,clpP,gene:BAE76217,proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases
gene436,clpX,gene:BAE76218,ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease
gene437,lon,gene:BAE76219,DNA-binding ATP-dependent protease La
gene438,hupB,gene:BAE76220,HU%2C DNA-binding transcriptional regulator%2C beta subunit
gene439,ppiD,gene:BAE76221,peptidyl-prolyl cis-trans isomerase
gene440,ybaV,gene:BAE76222,conserved hypothetical protein
gene441,ybaW,gene:BAE76223,conserved hypothetical protein
gene442,ybaX,gene:BAE76224,predicted aluminum resistance protein
gene443,ybaE,gene:BAE76225,predicted transporter subunit
gene444,cof,gene:BAE76226,thiamin pyrimidine pyrophosphate hydrolase
gene445,ybaO,gene:BAE76227,predicted DNA-binding transcriptional regulator
gene446,mdlA,gene:BAE76228,fused predicted multidrug transporter subunits and ATP-binding components of ABC superfamily
gene447,mdlB,gene:BAE76229,fused predicted multidrug transporter subunits and ATP binding components of ABC superfamily
gene448,glnK,gene:BAE76230,nitrogen assimilation regulatory protein for GlnL%2C GlnE%2C and AmtB
gene449,amtB,gene:BAE76231,ammonium transporter
gene450,tesB,gene:BAE76232,acyl-CoA thioesterase II
gene451,ybaY,gene:BAE76233,predicted outer membrane lipoprotein
gene452,ybaZ,gene:BAE76234,predicted methyltransferase
gene453,ffs,,
gene454,ybaA,gene:BAE76235,conserved hypothetical protein
gene455,ylaB,gene:BAE76236,conserved inner membrane protein
gene456,ylaC,gene:BAE76237,predicted inner membrane protein
gene457,maa,gene:BAE76238,maltose O-acetyltransferase
gene458,hha,gene:BAE76239,modulator of gene expression%2C with H-NS
gene459,ybaJ,gene:BAE76240,hypothetical protein
gene460,acrB,gene:BAE76241,multidrug efflux system protein
gene461,acrA,gene:BAE76242,multidrug efflux system
gene462,acrR,gene:BAE76243,DNA-binding transcriptional regulator
gene463,kefA,gene:BAE76244,fused mechanosensitive channel proteins
gene464,ybaM,gene:BAE76245,hypothetical protein
gene465,priC,gene:BAE76246,primosomal replication protein N''
gene466,ybaN,gene:BAE76247,conserved inner membrane protein
gene467,apt,gene:BAE76248,adenine phosphoribosyltransferase
gene468,dnaX,gene:BAE76249,DNA polymerase III/DNA elongation factor III%2C tau and gamma subunits
gene469,ybaB,gene:BAE76250,conserved hypothetical protein
gene470,recR,gene:BAE76251,gap repair protein
gene471,htpG,gene:BAE76252,molecular chaperone HSP90 family
gene472,adk,gene:BAE76253,adenylate kinase
gene473,hemH,gene:BAE76254,ferrochelatase
gene474,aes,gene:BAE76255,acetyl esterase
gene475,gsk,gene:BAE76256,inosine/guanosine kinase
gene476,ybaL,gene:BAE76257,predicted transporter with NAD(P)-binding Rossmann-fold domain
gene477,fsr,gene:BAE76258,predicted fosmidomycin efflux system
gene478,ushA,gene:BAE76259,bifunctional UDP-sugar hydrolase and 5'-nucleotidase
gene479,ybaK,gene:BAE76260,conserved hypothetical protein
gene480,ybaP,gene:BAE76261,conserved hypothetical protein
gene481,ybaQ,gene:BAE76262,predicted DNA-binding transcriptional regulator
gene482,copA,gene:BAE76263,copper transporter
gene483,ybaS,gene:BAE76264,predicted glutaminase
gene484,ybaT,gene:BAE76265,predicted transporter
gene485,cueR,gene:BAE76266,DNA-binding transcriptional activator
gene486,ybbJ,gene:BAE76267,conserved inner membrane protein
gene487,ybbK,gene:BAE76268,predicted protease%2C membrane anchored
gene488,ybbL,gene:BAE76269,predicted transporter subunit
gene489,ybbM,gene:BAE76270,predicted inner membrane protein
gene490,ybbN,gene:BAE76271,predicted thioredoxin domain-containing protein
gene491,ybbO,gene:BAE76272,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain
gene492,tesA,gene:BAE76273,multifunctional acyl-CoA thioesterase I%2C protease I%2C and lysophospholipase L1
gene493,ybbA,gene:BAE76274,predicted transporter subunit
gene494,ybbP,gene:BAE76275,predicted inner membrane protein
gene495,rhsD,gene:BAE76276,rhsD element protein
gene496,ybbC,gene:BAE76277,hypothetical protein
gene497,ylbH,gene:BAE76278,conserved hypothetical protein%2C rhs-like
gene498,ybbD,gene:BAE76279,hypothetical protein
gene499,ylbG,gene:BAE76280,predicted DNA-binding transcriptional regulator
gene500,ybbB,gene:BAE76281,tRNA 2-selenouridine synthase%2C selenophosphate-dependent
gene501,ybbS,gene:BAE76282,transcriptional activator of the allD operon
gene502,allA,gene:BAE76283,ureidoglycolate hydrolase
gene503,allR,gene:BAE76284,DNA-binding transcriptional regulator
gene504,gcl,gene:BAE76285,glyoxylate carboligase
gene505,hyi,gene:BAE76286,hydroxypyruvate isomerase
gene506,glxR,gene:BAE76287,tartronate semialdehyde reductase%2C NADH-dependent
gene507,ybbV,gene:BAE76288,hypothetical protein
gene508,ybbW,gene:BAE76289,predicted allantoin transporter
gene509,allB,gene:BAE76290,allantoinase
gene510,ybbY,gene:BAE76291,predicted uracil/xanthine transporter
gene511,glxK,gene:BAE76292,glycerate kinase II
gene512,ylbA,gene:BAE76293,conserved hypothetical protein
gene513,allC,gene:BAE76294,allantoate amidohydrolase
gene514,allD,gene:BAE76295,ureidoglycolate dehydrogenase
gene515,fdrA,gene:BAE76296,predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain
gene516,ylbE,,
gene517,ylbF,gene:BAE76297,conserved hypothetical protein
gene518,ybcF,gene:BAE76298,predicted carbamate kinase
gene519,purK,gene:BAE76299,N5-carboxyaminoimidazole ribonucleotide synthase
gene520,purE,gene:BAE76300,N5-carboxyaminoimidazole ribonucleotide mutase
gene521,lpxH,gene:BAE76301,UDP-2%2C3-diacylglucosamine pyrophosphatase
gene522,ppiB,gene:BAE76302,peptidyl-prolyl cis-trans isomerase B
gene523,cysS,gene:BAE76303,cysteinyl-tRNA synthetase
gene524,ybcI,gene:BAE76304,conserved inner membrane protein
gene525,ybcJ,gene:BAE76305,predicted RNA-binding protein
gene526,folD,gene:BAE76306,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase and 5%2C10-methylene-tetrahydrofolate cyclohydrolase
gene527,sfmA,gene:BAE76307,predicted fimbrial-like adhesin protein
gene528,sfmC,gene:BAE76308,pilin chaperone%2C periplasmic
gene529,sfmD,gene:BAE76309,predicted outer membrane export usher protein
gene530,sfmH,gene:BAE76310,predicted fimbrial-like adhesin protein
gene531,sfmF,gene:BAE76311,predicted fimbrial-like adhesin protein
gene532,fimZ,gene:BAE76312,predicted DNA-binding transcriptional regulator
gene533,argU,,
gene534,intD,gene:BAE76313,predicted integrase
gene535,ybcC,gene:BAE76314,predicted exonuclease
gene536,ybcD,,
gene537,insE,gene:BAE76083,IS3 element protein
gene538,insF,gene:BAE76084,IS3 element protein InsF
gene539,renD,gene:BAE76317,hypothetical protein
gene540,emrE,gene:BAE76318,multidrug resistance protein
gene541,ybcK,gene:BAE76319,predicted recombinase
gene542,ybcL,gene:BAE76320,predicted kinase inhibitor
gene543,ybcM,gene:BAE76321,predicted DNA-binding transcriptional regulator
gene544,ybcN,gene:BAE76322,hypothetical protein
gene545,ninE,gene:BAE76323,conserved hypothetical protein
gene546,ybcO,gene:BAE76324,hypothetical protein
gene547,rusA,gene:BAE76325,endonuclease RUS
gene548,ylcG,gene:BAE76326,hypothetical protein
gene549,ybcQ,gene:BAE76327,predicted antitermination protein
gene550,insH,gene:BAE76049,IS5 transposase and trans-activator
gene551,nmpC,,
gene552,essD,gene:BAE76329,predicted phage lysis protein
gene553,ybcS,gene:BAE76330,predicted lysozyme
gene554,rzpD,gene:BAE76331,predicted murein endopeptidase
gene555,rzoD,gene:BAE76332,predicted lipoprotein
gene556,borD,gene:BAE76333,predicted lipoprotein
gene557,ybcV,gene:BAE76334,hypothetical protein
gene558,ybcW,gene:BAE76335,hypothetical protein
gene559,nohB,gene:BAE76336,DNA packaging protein
gene560,tfaD,,
gene561,ybcY,gene:BAE76337,predicted SAM-dependent methyltransferase
gene562,ylcE,gene:BAE76338,hypothetical protein
gene563,appY,gene:BAE76339,DNA-binding transcriptional activator
gene564,ompT,gene:BAA35199,outer membrane protease VII
gene565,envY,gene:BAA35200,DNA-binding transcriptional activator
gene566,ybcH,gene:BAA35201,hypothetical protein
gene567,nfrA,gene:BAA35202,bacteriophage N4 receptor%2C outer membrane subunit
gene568,nfrB,gene:BAA35203,bacteriophage N4 receptor%2C inner membrane subunit
gene569,cusS,gene:BAA35204,sensory histidine kinase in two-component regulatory system with CusR%2C senses copper ions
gene570,cusR,gene:BAA35205,DNA-binding response regulator in two-component regulatory system with CusS
gene571,cusC,gene:BAA35206,copper/silver efflux system%2C outer membrane component
gene572,cusF,gene:BAA35207,periplasmic copper-binding protein
gene573,cusB,gene:BAA35208,copper/silver efflux system%2C membrane fusion protein
gene574,cusA,gene:BAA35215,copper/silver efflux system%2C membrane component
gene575,pheP,gene:BAA35216,phenylalanine transporter
gene576,ybdG,gene:BAA35217,predicted mechanosensitive channel
gene577,nfnB,gene:BAA35218,dihydropteridine reductase%2C NAD(P)H-dependent%2C oxygen-insensitive
gene578,ybdF,gene:BAA35219,conserved hypothetical protein
gene579,ybdJ,gene:BAA35220,predicted inner membrane protein
gene580,ybdK,gene:BAA35221,gamma-glutamyl:cysteine ligase
gene581,hokE,gene:BAA35222,toxic polypeptide%2C small
gene582,insL,gene:BAE76030,IS186/IS421 transposase
gene583,entD,gene:BAA35224,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex
gene584,fepA,gene:BAA35225,iron-enterobactin outer membrane transporter
gene585,fes,gene:BAA35226,enterobactin/ferric enterobactin esterase
gene586,ybdZ,gene:BAE76340,conserved hypothetical protein
gene587,entF,gene:BAE76341,enterobactin synthase multienzyme complex component%2C ATP-dependent
gene588,fepE,gene:BAE76342,regulator of length of O-antigen component of lipopolysaccharide chains
gene589,fepC,gene:BAE76343,iron-enterobactin transporter subunit
gene590,fepG,gene:BAE76344,iron-enterobactin transporter subunit
gene591,fepD,gene:BAE76345,iron-enterobactin transporter subunit
gene592,ybdA,gene:BAE76346,predicted transporter
gene593,fepB,gene:BAE76347,iron-enterobactin transporter subunit
gene594,entC,gene:BAE76348,isochorismate synthase 1
gene595,entE,gene:BAE76349,2%2C3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex
gene596,entB,gene:BAE76350,isochorismatase
gene597,entA,gene:BAE76351,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase
gene598,ybdB,gene:BAE76352,conserved hypothetical protein
gene599,cstA,gene:BAA35227,carbon starvation protein
gene600,ybdD,gene:BAA35228,conserved hypothetical protein
gene601,ybdH,gene:BAA35229,predicted oxidoreductase
gene602,ybdL,gene:BAA35230,methionine aminotransferase%2C PLP-dependent
gene603,ybdM,gene:BAA35231,conserved hypothetical protein
gene604,ybdN,gene:BAA35232,conserved hypothetical protein
gene605,ybdO,gene:BAA35233,predicted DNA-binding transcriptional regulator
gene606,dsbG,gene:BAA35234,periplasmic disulfide isomerase/thiol-disulphide oxidase
gene607,ahpC,gene:BAA35235,alkyl hydroperoxide reductase%2C C22 subunit
gene608,ahpF,gene:BAA35236,alkyl hydroperoxide reductase%2C F52a subunit%2C FAD/NAD(P)-binding
gene609,uspG,gene:BAA35237,universal stress protein UP12
gene610,ybdR,gene:BAA35238,predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding
gene611,rnk,gene:BAA35239,regulator of nucleoside diphosphate kinase
gene612,rna,gene:BAA35240,ribonuclease I
gene613,citT,gene:BAA35241,citrate:succinate antiporter
gene614,citG,gene:BAE76353,triphosphoribosyl-dephospho-CoA transferase
gene615,citX,gene:BAE76354,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
gene616,citF,gene:BAA35251,citrate lyase%2C citrate-ACP transferase (alpha) subunit
gene617,citE,gene:BAA35252,citrate lyase%2C citryl-ACP lyase (beta) subunit
gene618,citD,gene:BAA35253,citrate lyase%2C acyl carrier (gamma) subunit
gene619,citC,gene:BAA35254,citrate lyase synthetase
gene620,citA,gene:BAA35255,sensory histidine kinase in two-component regulatory system with citB
gene621,citB,gene:BAA35256,DNA-binding response regulator in two-component regulatory system with citA
gene622,dcuC,gene:BAA35263,anaerobic C4-dicarboxylate transport
gene623,insH,gene:BAE76049,IS5 transposase and trans-activator
gene624,crcA,gene:BAA35265,palmitoyl transferase for Lipid A
gene625,cspE,gene:BAA35266,DNA-binding transcriptional repressor
gene626,crcB,gene:BAA35267,predicted inner membrane protein associated with chromosome condensation
gene627,ybeH,gene:BAA35268,hypothetical protein
gene628,ybeM,gene:BAA35269,predicted C-N hydrolase superfamily%2C NAD(P)-binding amidase/nitrilase
gene629,tatE,gene:BAA35270,TatABCE protein translocation system subunit
gene630,lipA,gene:BAA35271,lipoate synthase
gene631,ybeF,gene:BAA35272,predicted DNA-binding transcriptional regulator
gene632,lipB,gene:BAA35273,lipoyl-protein ligase
gene633,ybeD,gene:BAA35274,conserved hypothetical protein
gene634,dacA,gene:BAA35275,D-alanyl-D-alanine carboxypeptidase
gene635,rlpA,gene:BAA35276,minor lipoprotein
gene636,mrdB,gene:BAA35277,cell wall shape-determining protein
gene637,mrdA,gene:BAA35282,transpeptidase involved in peptidoglycan synthesis
gene638,ybeA,gene:BAA35283,conserved hypothetical protein
gene639,ybeB,gene:BAA35284,hypothetical protein
gene640,cobC,gene:BAA35285,predicted alpha-ribazole-5'-P phosphatase
gene641,nadD,gene:BAA35286,nicotinic acid mononucleotide adenylyltransferase%2C NAD(P)-dependent
gene642,holA,gene:BAA35287,DNA polymerase III%2C delta subunit
gene643,rlpB,gene:BAA35288,minor lipoprotein
gene644,leuS,gene:BAA35289,leucyl-tRNA synthetase
gene645,ybeL,gene:BAA35290,conserved hypothetical protein
gene646,ybeQ,gene:BAA35291,conserved hypothetical protein
gene647,ybeR,gene:BAA35292,hypothetical protein
gene648,djlB,gene:BAA35293,predicted chaperone
gene649,ybeT,gene:BAA35294,conserved outer membrane protein
gene650,ybeU,gene:BAA35295,predicted tRNA ligase
gene651,djlC,gene:BAA35296,Hsc56 co-chaperone of HscC
gene652,hscC,gene:BAA35297,Hsp70 family chaperone Hsc62%2C binds to RpoD and inhibits transcription
gene653,rihA,gene:BAA35303,ribonucleoside hydrolase 1
gene654,gltL,gene:BAA35304,glutamate and aspartate transporter subunit
gene655,gltK,gene:BAA35305,glutamate and aspartate transporter subunit
gene656,gltJ,gene:BAA35306,glutamate and aspartate transporter subunit
gene657,gltI,gene:BAA35307,glutamate and aspartate transporter subunit
gene658,insH,gene:BAE76049,IS5 transposase and trans-activator
gene659,lnt,gene:BAA35308,apolipoprotein N-acyltransferase
gene660,ybeX,gene:BAA35309,predicteed ion transport
gene661,ybeY,gene:BAA35314,conserved hypothetical protein
gene662,ybeZ,gene:BAA35315,hypothetical protein with nucleoside triphosphate hydrolase domain
gene663,miaB,gene:BAE76357,isopentenyl-adenosine A37 tRNA methylthiolase
gene664,ubiF,gene:BAA35316,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol oxygenase
gene665,glnX,,
gene666,glnV,,
gene667,metU,,
gene668,glnW,,
gene669,glnU,,
gene670,leuW,,
gene671,metT,,
gene672,asnB,gene:BAA35317,asparagine synthetase B
gene673,nagD,gene:BAA35318,UMP phosphatase
gene674,nagC,gene:BAA35319,DNA-binding transcriptional dual regulator
gene675,nagA,gene:BAA35320,N-acetylglucosamine-6-phosphate deacetylase
gene676,nagB,gene:BAA35321,glucosamine-6-phosphate deaminase
gene677,nagE,gene:BAA35327,fused N-acetyl glucosamine specific PTS enzyme IICBA components
gene678,glnS,gene:BAA35328,glutamyl-tRNA synthetase
gene679,ybfM,gene:BAA35329,predicted outer membrane porin
gene680,ybfN,gene:BAA35330,predicted lipoprotein
gene681,fur,gene:BAA35331,DNA-binding transcriptional dual regulator
gene682,fldA,gene:BAA35333,flavodoxin 1
gene683,ybfE,gene:BAA35334,LexA regulated protein
gene684,ybfF,gene:BAA35335,conserved hypothetical protein
gene685,seqA,gene:BAA35336,regulatory protein for replication initiation
gene686,pgm,gene:BAA35337,phosphoglucomutase
gene687,ybfP,gene:BAE76358,hypothetical protein
gene688,ybfG,gene:BAA35338,hypothetical protein
gene689,ybfH,gene:BAA35347,hypothetical protein
gene690,potE,gene:BAA35348,putrescine/proton symporter
gene691,speF,gene:BAA35349,ornithine decarboxylase isozyme%2C inducible
gene692,kdpE,gene:BAA35351,DNA-binding response regulator in two-component regulatory system with KdpD
gene693,kdpD,gene:BAA35352,fused sensory histidine kinase in two-component regulatory system with KdpE
gene694,kdpC,gene:BAA35353,potassium translocating ATPase%2C subunit C
gene695,kdpB,gene:BAA35354,potassium translocating ATPase%2C subunit B
gene696,kdpA,gene:BAA35356,potassium translocating ATPase%2C subunit A
gene697,kdpF,gene:BAA35357,potassium ion accessory transporter subunit
gene698,ybfA,gene:BAA35358,hypothetical protein
gene699,rhsC,gene:BAA35359,rhsC element core protein RshC
gene700,ybfB,gene:BAA35360,predicted inner membrane protein
gene701,ybfO,gene:BAA35361,conserved hypothetical protein%2C rhs-like
gene702,ybfC,gene:BAA35362,hypothetical protein
gene703,ybfQ,gene:BAA35363,predicted transposase
gene704,ybfL,,
gene705,ybfD,gene:BAA35365,conserved hypothetical protein
gene706,ybgA,gene:BAA35366,conserved hypothetical protein
gene707,phr,gene:BAA35367,deoxyribodipyrimidine photolyase%2C FAD-binding
gene708,ybgH,gene:BAA35368,predicted transporter
gene709,ybgI,gene:BAA35374,conserved metal-binding protein
gene710,ybgJ,gene:BAA35375,predicted enzyme subunit
gene711,ybgK,gene:BAA35376,predicted enzyme subunit
gene712,ybgL,gene:BAA35377,predicted lactam utilization protein
